AGE,GENDER,EDUCATION,ETHNICITY,SHIPLEY,HLVA,FACTOR3,NATIVE.LANGUAGE,ResponseId,study
23,Female,Higher,Asian,39,8,61,Other,R_tRRdPySJbiIvORr,KA
18,Female,Secondary,Asian,6,3,51,Other,R_43mVHCM8Yyi2Axz,KA
18,Male,Secondary,Asian,10,5,31,Other,R_1gkCZdkJmuNZiY3,KA
22,Male,Secondary,Asian,20,7,54,Other,R_sjmJowlY9IIl6LL,KA
24,Female,Further,Asian,33,13,43,English,R_1KoM9bUHPuRODWG,KA
100,Male,Further,White,9,6,39,English,R_3MSVxDE3SdXTwJ2,KA
22,Female,Higher,Asian,32,10,47,Other,R_yVDcY1clHozOk1j,KA
44,Female,Higher,Asian,21,6,31,Other,R_301YkQx7jh7EjC8,KA
25,Female,Higher,Asian,28,6,59,English,R_1F96YL5gFQoxWpT,KA
29,Male,Secondary,Asian,33,10,49,English,R_29sT2SGKfGuVotc,KA
47,Male,Higher,Asian,32,9,57,Other,R_2bUcw03G3ZwOLfk,KA
50,Female,Higher,Asian,22,9,41,Other,R_22Srdqs6SrdJU9W,KA
27,Female,Higher,Asian,23,10,49,Other,R_1NmlvRME6g2QMDG,KA
24,Female,Higher,Asian,36,10,58,Other,R_1nPDqmRZXGa1DSR,KA
21,Male,Further,Asian,23,2,52,English,R_2dQOQtbzEKd8APX,KA
48,Male,Higher,Asian,36,10,52,Other,R_3EWpGi9KWibyvGv,KA
29,Female,Higher,Asian,36,13,58,Other,R_A6Wz6kTriNvYkpP,KA
100,Female,Higher,Asian,21,7,34,Other,R_1dsJtHwqeH4Kx7d,KA
23,Female,Further,Asian,26,7,41,English,R_2z61iQI7KoLLYZT,KA
28,Male,Higher,Asian,29,10,48,Other,R_9T48UUuPLGo67cJ,KA
30,Female,Higher,Asian,26,2,36,Other,R_2wHwZvceAbengkO,KA
54,Female,Higher,Asian,15,6,48,Other,R_po837ntGLihrHgZ,KA
24,Female,Higher,Asian,0,0,0,Other,R_OuN1qjOhlW804Pn,KA
23,Female,Higher,Asian,0,0,0,Other,R_2hrF4oMDSDfZEbf,KA
22,Female,Higher,Asian,23,0,0,Other,R_3exL9JXoAHjaQG1,KA
23,Female,Higher,Asian,0,0,0,English,R_ZlUH6eNhPzkdU3L,KA
23,Female,Higher,Asian,29,10,48,Other,R_1dL9qYvrIu8OBJ1,KA
29,Male,Higher,Asian,0,0,0,English,R_6mr1qfzr7Zb8xRn,KA
24,Female,Higher,Asian,0,0,0,English,R_1hKWdRV4pDmSHRc,KA
50,Female,Further,Asian,30,9,60,Other,R_3HRXLKCee8Q0FWK,KA
23,Female,Higher,Asian,32,7,52,English,R_2YsRJsnHgrHXAYQ,KA
26,Male,Further,Asian,37,9,57,Other,R_2wKxPYVXqjNU54T,KA
44,Male,Higher,Asian,34,8,37,English,R_1CCNGuxRE7kUEOd,KA
28,Female,Higher,Asian,0,0,0,English,R_22nXVmlYr8jMP1A,KA
25,Female,Higher,Asian,29,9,50,Other,R_3CKkvEChvwV8dre,KA
20,Male,Further,Asian,29,8,48,Other,R_1Oqm0HHn1FYd34m,KA
41,Female,Higher,Asian,29,11,54,Other,R_YRiAOwdNHcT7qpj,KA
20,Female,Secondary,Asian,36,9,56,Other,R_vCYG8Qh7qw13dq9,KA
22,Female,Higher,Asian,0,0,0,Other,R_6gmp8iLMlYFCSeB,KA
24,Female,Higher,Asian,39,0,0,English,R_vvpynxTVmThO4Ex,KA
33,Male,Higher,Asian,0,0,0,Other,R_30cKXJOA6WY7LEo,KA
28,Male,Higher,Asian,35,9,0,Other,R_2xCTSqSdZ1EjFcn,KA
28,Male,Higher,Asian,34,0,0,Other,R_1BPWX3S0ZdCkOoi,KA
24,Female,Higher,Asian,34,9,61,English,R_1OSIp6AkO5mlPjJ,KA
36,prefer-not-to-say,Higher,Asian,28,6,57,Other,R_2ZNUQKdnrpAGIZ0,KA
41,Male,Secondary,Asian,25,6,57,Other,R_9BqZvz8pIwRra1z,KA
24,Female,Higher,Asian,30,11,56,Other,R_1n9GmZYSJNH9TkN,KA
23,Male,Higher,Asian,0,0,0,Other,R_3KCOPW6472mL3pR,KA
23,Female,Higher,Asian,26,0,0,Other,R_1NgcG7nQ9E7e6qs,KA
24,Female,Further,Asian,27,10,44,Other,R_bmjXaspjI5s5MKB,KA
24,Female,Higher,Asian,0,0,0,Other,R_AiEieGMpiqXaAMN,KA
24,Female,Higher,Asian,28,10,0,Other,R_2sTmUWIDDRcYPfs,KA
21,Female,Higher,Asian,0,0,0,Other,R_OGUF9m0cX9Oci7D,KA
45,Male,Further,Asian,30,8,46,Other,R_se7w5F3b80RGo2B,KA
23,Female,Higher,Asian,34,4,39,Other,R_cuRcxp4Vun1oIi5,KA
24,Female,Higher,Asian,40,9,24,Other,R_1MRLUcRKgtDpKRG,KA
35,Male,Secondary,Asian,12,4,28,Other,R_1GDhi5IPrcIt2e6,KA
24,Female,Higher,Asian,0,0,0,Other,R_3nN5StUPXSsQKqQ,KA
34,Female,Higher,Asian,25,9,43,Other,R_1Hho9ATDW6wag2b,KA
23,Female,Further,Asian,20,0,0,Other,R_1eEvQbJqqXhQYDg,KA
23,Female,Higher,Asian,31,0,0,Other,R_2cq03QWkLC13GdP,KA
37,Female,Higher,Asian,31,10,61,Other,R_1ghk4d4HyTEzTlJ,KA
24,Male,Higher,Asian,0,0,0,Other,R_3PYlwWL6KWqFlLL,KA
19,Male,Further,Asian,0,0,0,Other,R_RlhMv86mIPeihlT,KA
19,Female,Secondary,Asian,0,0,0,English,R_1rqvrF07ZA1aYoo,KA
18,Female,Secondary,Asian,0,0,0,Other,R_cGXU1vLjvRnqJvb,KA
40,Male,Higher,Asian,27,11,57,Other,R_2fwf4Nt2cMpqvJW,KA
24,Female,Higher,Asian,30,0,0,English,R_yEKWWTCR3WVI59f,KA
24,Female,Higher,Asian,0,0,0,Other,R_2dha52tm2gkx2QB,KA
40,Female,Secondary,Asian,22,11,37,Other,R_22nolfj4oas2hE9,KA
58,Female,Higher,Asian,31,9,63,Other,R_cD6f2EVEMegZDLH,KA
42,Female,Higher,Asian,38,8,58,Other,R_2YWhruY9eJuWNL8,KA
24,Female,Higher,Asian,0,0,0,Other,R_2S0iru1MUWvoZmA,KA
26,Male,Higher,Asian,0,0,0,Other,R_3dXJqxpu39Js28e,KA
19,Female,Higher,Asian,26,6,53,Other,R_pcqO4o2cL29CE49,KA
34,Female,Further,Asian,0,0,0,Other,R_2aJFWQsTD3rcuVN,KA
23,Female,Higher,Asian,19,0,0,Other,R_3lMpCZrS1eaWbnt,KA
23,Female,Higher,Asian,0,0,0,Other,R_voYAJWlywwLiPOV,KA
24,Female,Higher,Asian,0,0,0,Other,R_Y6prJ3ACB9LO5kl,KA
33,Male,Higher,Asian,25,9,45,Other,R_wYtG5EBfeRpZpFD,KA
24,Female,Higher,Asian,22,0,0,Other,R_1jIIztfmEIbvVae,KA
30,Male,Higher,Asian,37,6,53,Other,R_27WgqUW1vQMEDDW,KA
23,Female,Higher,Asian,39,12,47,Other,R_32WSiVO7cQldh5Q,KA
20,Female,Secondary,Asian,35,7,52,Other,R_25Fu9FBK4Loj3NE,KA
36,Female,Further,Asian,0,0,0,Other,R_1QLVHZVmgzQuPVt,KA
18,Female,Secondary,Asian,0,0,0,Other,R_2ykCcAVZwi8Yv6F,KA
50,Male,Higher,Asian,0,0,0,Other,R_3eh54NWvYFa2YzD,KA
54,Female,Higher,Asian,36,0,0,Other,R_3phvD7IB07clHOD,KA
51,Male,Higher,Asian,0,0,0,Other,R_ema851qUsSprCox,KA
24,Female,Higher,Asian,0,0,0,English,R_1NeUEZIiUnM3nlA,KA
21,Female,Higher,Asian,26,0,0,English,R_3Mih2uxjtaut0r8,KA
23,Female,Higher,Asian,33,0,0,Other,R_1mrfOmjA4C6yRBb,KA
18,Female,Secondary,Mixed,13,0,0,English,R_1pFphL88j0r2Bvw,KA
21,Female,Higher,Asian,26,0,0,Other,R_A6Wnp95LTBAPwfn,KA
21,Male,Higher,Asian,20,5,45,Other,R_2ScvsmgrUx11cjm,ZW
23,Female,Higher,Asian,16,4,37,Other,R_3HwypZuwyQo4Xbk,ZW
23,Female,Higher,Asian,37,6,47,Other,R_3dQNwtGgYgL0Xjb,ZW
25,Male,Higher,Asian,24,9,29,Other,R_3NxDxOwMSao85eP,ZW
22,Female,Further,Asian,8,3,52,English,R_8crBDvxzELlTGDL,ZW
23,Male,Higher,Asian,17,5,34,Other,R_9FusBINUTtC68tb,ZW
25,Male,Higher,Black,8,4,31,Other,R_XOrUXdt3oQO7sBP,ZW
22,Female,Higher,Asian,22,6,49,Other,R_1jInlhC4V2fL5kG,ZW
23,Female,Higher,Asian,19,8,56,Other,R_1K7t2ZTt0yrW2I0,ZW
24,Female,Higher,Asian,23,4,46,Other,R_ymBsv6MMw5Ofotj,ZW
30,prefer-not-to-say,Higher,Asian,18,3,34,Other,R_2rABAb8PvoTM5DP,ZW
25,Male,Higher,Asian,12,4,40,Other,R_3nDCN1vwPWYegVY,ZW
24,Female,Higher,Asian,13,6,26,Other,R_2YXioeqm1BDRn6Z,ZW
23,Female,Higher,Asian,36,8,31,Other,R_2DOi62G6afWXN8f,ZW
24,Male,Higher,Asian,26,5,48,Other,R_zSWbwrAJnoTAKtP,ZW
24,Male,Higher,Asian,35,11,41,Other,R_28ImH2OOmgmotBc,ZW
23,Male,Higher,Asian,23,4,40,Other,R_3n5Ywa6Sd4konGN,ZW
24,Female,Higher,Asian,20,6,48,Other,R_2aYauSW9NSersIA,ZW
24,Female,Higher,Asian,14,3,43,Other,R_BXTq7tG7QaQVp9T,ZW
24,Female,Further,Asian,15,7,49,Other,R_10pjsvY4ox7YoiE,ZW
25,Male,Higher,Asian,32,5,40,Other,R_UMY73Wtrh9y6CT7,ZW
22,Female,Higher,Asian,23,4,40,Other,R_3MSBNcJ8IU9VrQB,ZW
27,Male,Further,Asian,28,11,24,Other,R_p6rxCtZbhHGZYTD,ZW
24,Female,Higher,Asian,39,10,48,Other,R_2e9ywrYR6WxJ0Oi,ZW
28,Male,Higher,Asian,33,5,36,Other,R_1DUU07ktWnXiN1a,ZW
20,Male,Higher,Asian,24,8,40,Other,R_3RxzuUyEqjvZtsy,ZW
24,Female,Higher,Asian,35,8,45,Other,R_3lYwecfGu5Tfhyl,ZW
37,Female,Higher,Asian,39,8,35,Other,R_3lubU3u81GFEZF9,ZW
24,Female,Higher,Asian,15,7,48,Other,R_3fxXEoIbBspQSMo,ZW
25,Male,Higher,Asian,37,7,39,Other,R_tLs6weVKOi3KBVv,ZW
25,Male,Higher,Asian,15,3,36,Other,R_rrMwA57DW0lRRx7,ZW
24,Female,Higher,Asian,24,6,22,Other,R_3G2NRi5JpmjgA9E,ZW
24,Female,Higher,Asian,33,4,48,Other,R_3KUAEn0gq9aSFuJ,ZW
24,Female,Higher,Asian,33,7,40,Other,R_21van379vIfXyTe,ZW
24,Female,Higher,Asian,33,7,53,Other,R_1hSdwsA4DWpN2Ks,ZW
22,Female,Higher,Asian,14,3,42,Other,R_wSK9LxPx4rwAJfH,ZW
22,Male,Higher,Asian,38,10,28,Other,R_2YD4km34HnUtAwW,ZW
23,Female,Higher,Asian,22,5,32,Other,R_3Okr4uaTeMC2xvM,ZW
24,Female,Higher,Asian,37,4,44,Other,R_1d76tnaNTykOPsx,ZW
22,Female,Further,Asian,15,7,42,Other,R_1d4BH8NS8EMZj3l,ZW
21,Male,Higher,Asian,24,4,41,English,R_1liYBzQtRJNmUTC,ZW
22,Male,Further,Asian,17,2,40,Other,R_TqtDWxF407JTpRf,ZW
22,Male,Higher,Asian,35,3,54,English,R_6PAvYva5bFHS5Cp,ZW
23,Male,Higher,Asian,27,3,45,English,R_3IQwiPXwKliHrHw,ZW
25,Male,Higher,Asian,35,4,57,Other,R_3HBojE4x4mJDa0u,ZW
21,Male,Higher,Asian,18,10,43,Other,R_1Ow7lrsplBR65ZW,ZW
21,Female,Higher,Asian,32,8,60,Other,R_1gRBgMMFgcidt2M,ZW
25,Male,Higher,Asian,21,3,43,Other,R_3qsoYZnp0FiTWeD,ZW
24,Male,Higher,Asian,14,7,45,Other,R_2WBTcmHoFvIiuCo,ZW
23,Female,Higher,Asian,29,5,44,Other,R_3q7IHlZ35C5HGhP,ZW
23,Female,Higher,Asian,33,5,45,Other,R_2rBnHWFIUqdCeqC,ZW
24,Female,Higher,Asian,15,3,36,Other,R_2YzeWlx5NVIUTJ3,ZW
22,Female,Higher,Asian,24,5,55,Other,R_3Dv7vsPIrWcUmRi,ZW
22,Female,Higher,Asian,34,5,57,Other,R_6wYJVGhHancIuTT,ZW
24,Male,Higher,Asian,27,4,49,Other,R_2dYdX6Xqvq2VImt,ZW
21,Female,Higher,Asian,31,8,43,Other,R_3DbRKOlKBY4huOD,ZW
21,Male,Higher,Asian,20,8,54,Other,R_2RVdVeR0Bfbj1jt,ZW
21,Female,Higher,Asian,32,5,59,Other,R_3qvRmuYxRz84jyR,ZW
27,Female,Higher,Asian,24,5,58,Other,R_5hbZzNtDwtbXJcJ,ZW
21,Female,Further,Asian,30,6,44,Other,R_3esrmPaHqA1t0wl,ZW
22,Female,Higher,Asian,31,7,37,English,R_WkWflCZmgfi7Go1,ZW
23,Male,Higher,Asian,31,8,42,Other,R_R9noyk6tyL7wTJL,ZW
22,Female,Higher,Asian,38,6,47,Other,R_41tWsmfuz0lRCiB,ZW
22,Female,Higher,Asian,24,5,51,Other,R_a97IF5spndohgQh,ZW
22,Female,Higher,Asian,29,4,53,Other,R_ah40JneRrUT46wp,ZW
25,Male,Higher,Asian,30,3,55,English,R_1JDEijFRGRwcNR4,ZW
28,Male,Higher,Asian,28,5,47,Other,R_2VJxYqQWVRUL2om,ZW
25,Female,Higher,Asian,33,5,49,Other,R_vMHr5JW8upmyXol,ZW
21,Male,Higher,Asian,35,9,54,Other,R_1P7DEHOl3cx9cAK,ZW
27,Male,Higher,Asian,34,3,36,English,R_2X6u7rPMwWIBiQZ,ZW
22,Male,Higher,Asian,37,7,31,Other,R_WfbxlhhdeIdrY8F,ZW
21,Female,Higher,Asian,29,9,57,Other,R_262UOJMbMQPyPO2,ZW
25,Male,Secondary,Mixed,8,4,35,English,R_2U3InfIwKFKedIk,ZW
21,Male,Secondary,Asian,28,6,51,Other,R_3pf2m9E3YRjuM9J,ZW
21,Female,Higher,Asian,18,8,51,Other,R_1IEEh4zGJQWKcCW,ZW
22,Female,Higher,Asian,20,5,44,Other,R_26hDZ0BPcw7uuPM,ZW
22,Male,Higher,Asian,35,7,49,Other,R_1g6fyzPPRG4zQlF,ZW
21,Female,Higher,Asian,23,4,45,Other,R_2ckJPNTeRyy4pyM,ZW
22,Male,Higher,Asian,38,5,45,Other,R_2BxuT6smtnMIaL4,ZW
23,Male,Higher,Asian,36,6,50,English,R_2tbYAuOXWrUGgDk,ZW
25,Male,Further,Asian,35,7,43,Other,R_1n2SPGD4GVCY0og,ZW
23,Female,Higher,Asian,17,6,37,Other,R_DNpLqgQgmtHkvBv,ZW
21,Female,Further,Asian,36,5,43,Other,R_1FkRIThKQmklHF3,ZW
22,Female,Higher,Asian,39,5,42,Other,R_3MsvL8Ni1yRk3hM,ZW
22,Male,Higher,Asian,31,11,43,Other,R_29iWHPiosY2QJV4,ZW
23,Male,Higher,Asian,33,3,41,English,R_33DQKp47JVAab0J,ZW
21,Female,Secondary,Asian,38,7,56,Other,R_1LCdGxIL5P7VVXu,ZW
22,Female,Further,Asian,34,4,45,Other,R_3jSrdkxdfL2OgEy,ZW
21,Female,Further,Asian,20,7,52,Other,R_3pt13Jz5AICFuyB,ZW
25,Female,Higher,Asian,25,11,48,Other,R_vN9kU4sSWw0VQB3,ZW
23,Female,Higher,Asian,16,8,45,Other,R_1K8NRPpHRaxAWQ9,ZW
25,Male,Higher,Asian,23,8,55,English,R_bHfVYCEIZ5Lwset,ZW
22,Female,Higher,Asian,25,5,45,Other,R_3nJi4kW1XHihasu,ZW
22,Female,Secondary,Asian,23,5,57,Other,R_3NE9LcWYpiD4pW8,ZW
22,Female,Higher,Asian,25,9,46,Other,R_3fpp1DjqEry79ia,ZW
23,Female,Higher,Asian,28,8,53,Other,R_Uuq3R1rmUIkBrLr,ZW
23,Female,Higher,Asian,18,4,27,Other,R_1Q4LFl6MzsIMzkK,ZW
25,Male,Higher,Asian,38,4,55,Other,R_3CTTRRd8HdVbiuS,ZW
25,Female,Higher,Asian,27,9,56,Other,R_vIemUoRqZMxaBVv,ZW
22,Female,Higher,Asian,33,8,50,Other,R_2fwBcEANncyqRXC,ZW
25,Male,Higher,Asian,32,5,63,English,R_3lMvrA8sqgZGSp3,ZW
21,Female,Higher,Asian,39,5,49,Other,R_3gZrMnYDjVA5LCA,ZW
37,Male,Higher,Asian,21,3,31,Other,R_1JEmnpkOS1hUvI4,ZW
43,Male,Higher,Asian,33,8,57,Other,R_doO7yhZoPvhlUXf,ZW
25,Female,Secondary,Asian,17,2,38,Other,R_OHfUFW2mrm9Gexb,ZW
25,Female,Further,Asian,19,5,44,Other,R_21sqcDi9XtwN7MK,ZW
39,Male,Higher,Asian,28,6,40,Other,R_w74T2pmb6llm1uV,ZW
46,Male,Higher,Asian,37,10,54,Other,R_21z8kODKURwMFUv,ZW
40,Male,Higher,Asian,18,5,30,Other,R_3oYekeUiJVcNnoH,ZW
27,Female,Higher,Asian,35,5,53,Other,R_3n9kEakNHLwKn2F,ZW
46,Male,Higher,Asian,16,3,51,Other,R_2A0jhvMDDIaPXA9,ZW
22,Female,Higher,Asian,26,6,31,Other,R_xFqt6m4NqGzbbEd,ZW
23,Male,Higher,Asian,36,5,31,Other,R_3EXSnJjBidsyIna,ZW
25,Female,Further,Asian,31,5,54,Other,R_3kdkH8EX7BhpKee,ZW
30,Female,Higher,Asian,32,6,36,Other,R_2rOadh3ZDsJbBkI,ZW
100,Female,Further,Mixed,11,3,38,English,R_2wHpg9M7uzN70hx,ZW
29,Female,Higher,Asian,34,5,56,Other,R_2vjhG03W5yKlSVj,ZW
26,Male,Secondary,Black,8,3,40,English,R_32VKyJKQQeJqVVN,ZW
20,Female,Higher,Asian,16,2,31,Other,R_2eWnNUayUwLTuZ7,ZW
20,Female,Higher,Asian,36,3,58,Other,R_27QJ7SMo5efxVC6,ZW
19,Female,Higher,Asian,36,5,49,Other,R_1BXhlwxCxfzakh1,ZW
21,Female,Higher,Asian,35,8,49,Other,R_QifUGnvuU7jRyGB,ZW
20,Female,Higher,Asian,37,6,51,Other,R_20VdgnrOLXmYlS4,ZW
20,Male,Further,Asian,38,8,51,Other,R_1lcSrhBTiDYUOZi,ZW
27,Female,Higher,Asian,36,5,41,Other,R_3nUXjjfKw3Pe3MU,ZW
22,Female,Further,Asian,24,7,29,Other,R_305MasGUXIkVbxw,ZW
28,Female,Higher,Asian,27,10,51,Other,R_1hElEGgOtTQ0JGe,ZW
23,Female,Further,Asian,0,0,0,Other,R_3JxG9VBkwhH852h,ZW
24,Male,Higher,Asian,0,0,0,Other,R_1BQVBeuWXXgTwIp,ZW
28,Female,Higher,Asian,18,3,58,Other,R_USbYbLUwsGsLBER,ZW
